D:\simulator-windows-64\IMG\center_2023_12_24_12_04_36_647.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_36_647.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_36_647.jpg, 0, 0, 0, 2.206773E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_36_753.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_36_753.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_36_753.jpg, 0, 0, 0, 2.205036E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_36_899.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_36_899.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_36_899.jpg, 0, 0, 0, 2.203635E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_011.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_011.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_011.jpg, 0, 0, 0, 2.206381E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_114.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_114.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_114.jpg, 0, 0, 0, 2.207663E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_215.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_215.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_215.jpg, 0, 0, 0, 2.209022E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_322.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_322.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_322.jpg, 0, 0, 0, 2.210419E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_423.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_423.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_423.jpg, 0, 0, 0, 2.21608E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_523.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_523.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_523.jpg, 0, 0, 0, 2.260938E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_625.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_625.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_625.jpg, 0, 0, 0, 2.217783E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_732.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_732.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_732.jpg, 0, 0, 0, 2.213837E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_833.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_833.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_833.jpg, 0, 0, 0, 2.210384E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_37_934.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_37_934.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_37_934.jpg, 0, 0, 0, 2.207421E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_037.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_037.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_037.jpg, 0, 0, 0, 2.210366E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_137.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_137.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_137.jpg, 0, 0, 0, 2.207705E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_240.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_240.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_240.jpg, 0, 0, 0, 2.205333E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_342.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_342.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_342.jpg, 0, 0, 0, 2.203711E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_443.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_443.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_443.jpg, 0, 0, 0, 2.20227E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_544.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_544.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_544.jpg, 0, 0, 0, 2.201006E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_645.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_645.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_645.jpg, 0, 0, 0, 2.199921E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_750.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_750.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_750.jpg, 0, 0, 0, 2.199103E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_852.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_852.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_852.jpg, 0, 0, 0, 2.198323E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_38_957.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_38_957.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_38_957.jpg, 0, 0, 0, 2.197721E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_39_059.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_39_059.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_39_059.jpg, 0, 0, 0, 2.197272E-05
D:\simulator-windows-64\IMG\center_2023_12_24_12_04_39_160.jpg, D:\simulator-windows-64\IMG\left_2023_12_24_12_04_39_160.jpg, D:\simulator-windows-64\IMG\right_2023_12_24_12_04_39_160.jpg, 0, 0, 0, 2.197095E-05
